countrycode,country
AUS,Australia
AUT,Austria
BEL,Belgium
CAN,Canada
CHL,Chile
CZE,Czech Republic
DNK,Denmark
EST,Estonia
FIN,Finland
FRA,France
DEU,Germany
GRC,Greece
HUN,Hungary
ISL,Iceland
IRL,Ireland
ISR,Israel
ITA,Italy
JPN,Japan
LVA,Latvia
LUX,Luxembourg
MEX,Mexico
NLD,Netherlands
NZL,New Zealand
NOR,Norway
POL,Poland
PRT,Portugal
KOR,Republic of Korea
SVK,Slovakia
SVN,Slovenia
ESP,Spain
SWE,Sweden
CHE,Switzerland
TUR,Turkey
GBR,United Kingdom
USA,United States
